# messageDelay  cumulativeProbability
0.1000 0.0059
31.8000 0.0118
39.9000 0.0178
59.8000 0.0237
65.5000 0.0296
81.6000 0.0355
84.4000 0.0414
100.3000 0.0473
115.5000 0.0533
124.7000 0.0592
143.0000 0.0651
147.4000 0.0710
172.8000 0.0769
179.2000 0.0828
198.0000 0.0888
202.2000 0.0947
209.1000 0.1006
225.7000 0.1065
239.1000 0.1124
240.6000 0.1183
250.7000 0.1243
254.4000 0.1302
260.0000 0.1361
281.6000 0.1420
282.9000 0.1479
285.8000 0.1538
298.4000 0.1598
319.8000 0.1657
324.5000 0.1716
335.1000 0.1775
336.4000 0.1834
344.9000 0.1893
347.0000 0.1953
348.5000 0.2012
351.9000 0.2071
356.8000 0.2130
383.7000 0.2189
404.8000 0.2249
407.0000 0.2308
409.4000 0.2367
418.2000 0.2426
418.9000 0.2485
429.7000 0.2544
432.0000 0.2604
435.1000 0.2663
436.3000 0.2722
438.5000 0.2781
441.1000 0.2840
442.4000 0.2899
451.7000 0.2959
456.1000 0.3018
473.2000 0.3077
473.9000 0.3136
475.3000 0.3195
488.6000 0.3254
503.3000 0.3314
509.2000 0.3373
510.4000 0.3432
513.0000 0.3491
521.8000 0.3550
525.8000 0.3609
536.1000 0.3669
545.1000 0.3728
550.2000 0.3787
555.3000 0.3846
556.3000 0.3905
566.0000 0.3964
572.0000 0.4024
612.3000 0.4083
619.3000 0.4142
626.6000 0.4201
642.4000 0.4260
653.0000 0.4320
656.0000 0.4379
661.7000 0.4438
679.0000 0.4497
680.8000 0.4556
692.0000 0.4615
694.5000 0.4675
698.5000 0.4734
709.1000 0.4793
723.2000 0.4852
724.5000 0.4911
731.0000 0.4970
745.7000 0.5030
764.2000 0.5089
771.4000 0.5148
776.6000 0.5207
780.4000 0.5266
797.2000 0.5325
801.2000 0.5385
822.3000 0.5444
822.6000 0.5503
843.6000 0.5562
862.0000 0.5621
862.3000 0.5680
889.0000 0.5740
905.6000 0.5799
914.8000 0.5858
937.0000 0.5917
957.7000 0.5976
963.5000 0.6036
1041.5000 0.6095
1053.3000 0.6154
1088.5000 0.6213
1094.6000 0.6272
1098.2000 0.6331
1121.0000 0.6391
1178.1000 0.6450
1191.4000 0.6509
1264.3000 0.6568
1288.7000 0.6627
1316.5000 0.6686
1324.7000 0.6746
1344.0000 0.6805
1344.8000 0.6864
1397.2000 0.6923
1437.6000 0.6982
1439.8000 0.7041
1472.1000 0.7101
1481.1000 0.7160
1490.9000 0.7219
1496.3000 0.7278
1536.7000 0.7337
1537.0000 0.7396
1560.8000 0.7456
1586.2000 0.7515
1588.7000 0.7574
1609.1000 0.7633
1723.3000 0.7692
1806.3000 0.7751
1819.9000 0.7811
1902.3000 0.7870
1966.6000 0.7929
1989.0000 0.7988
2031.8000 0.8047
2134.1000 0.8107
2167.0000 0.8166
2274.0000 0.8225
2291.5000 0.8284
2297.9000 0.8343
2721.5000 0.8402
2764.6000 0.8462
