# messageDelay  cumulativeProbability
0.2000 0.0059
0.3000 0.0118
0.8000 0.0178
16.6000 0.0237
30.2000 0.0296
37.7000 0.0355
80.7000 0.0414
87.0000 0.0473
90.2000 0.0533
90.4000 0.0592
103.1000 0.0651
110.6000 0.0710
128.7000 0.0769
132.6000 0.0828
139.5000 0.0888
145.7000 0.0947
148.0000 0.1006
151.9000 0.1065
154.3000 0.1124
164.1000 0.1183
173.8000 0.1243
178.3000 0.1302
180.6000 0.1361
185.2000 0.1420
192.6000 0.1479
194.8000 0.1538
198.7000 0.1598
199.8000 0.1657
201.3000 0.1716
224.5000 0.1775
226.3000 0.1834
233.9000 0.1893
234.4000 0.1953
238.8000 0.2012
244.6000 0.2071
252.1000 0.2130
255.9000 0.2189
256.9000 0.2249
264.1000 0.2308
281.4000 0.2367
283.8000 0.2426
284.5000 0.2485
284.9000 0.2544
291.6000 0.2604
292.0000 0.2663
293.3000 0.2722
297.7000 0.2781
299.0000 0.2840
301.8000 0.2899
304.6000 0.2959
310.6000 0.3018
320.1000 0.3077
327.1000 0.3136
329.6000 0.3195
348.8000 0.3254
350.4000 0.3314
353.0000 0.3373
355.0000 0.3432
361.7000 0.3491
369.9000 0.3550
380.6000 0.3609
386.7000 0.3669
387.0000 0.3728
388.3000 0.3787
392.8000 0.3846
399.8000 0.3905
403.7000 0.3964
417.1000 0.4024
418.3000 0.4083
418.7000 0.4142
419.3000 0.4201
424.7000 0.4260
434.8000 0.4320
436.9000 0.4379
442.9000 0.4438
443.2000 0.4497
444.2000 0.4556
446.1000 0.4615
448.6000 0.4675
454.8000 0.4734
457.3000 0.4793
466.6000 0.4852
467.4000 0.4911
472.6000 0.4970
473.5000 0.5030
475.2000 0.5089
481.1000 0.5148
482.4000 0.5207
485.6000 0.5266
493.6000 0.5325
496.0000 0.5385
496.2000 0.5444
500.8000 0.5503
515.6000 0.5562
520.6000 0.5621
520.7000 0.5680
544.5000 0.5740
544.6000 0.5799
549.2000 0.5858
565.8000 0.5917
567.7000 0.5976
570.2000 0.6036
584.9000 0.6095
587.1000 0.6154
589.0000 0.6213
597.0000 0.6272
616.7000 0.6331
618.7000 0.6391
622.0000 0.6450
638.3000 0.6509
638.8000 0.6568
657.8000 0.6627
659.8000 0.6686
676.0000 0.6746
681.3000 0.6805
682.0000 0.6864
700.9000 0.6923
703.4000 0.6982
703.9000 0.7041
709.0000 0.7101
716.6000 0.7160
720.4000 0.7219
734.1000 0.7278
744.0000 0.7337
752.0000 0.7396
766.6000 0.7456
767.3000 0.7515
813.8000 0.7574
822.2000 0.7633
822.4000 0.7692
836.3000 0.7751
860.0000 0.7811
864.2000 0.7870
867.9000 0.7929
884.1000 0.7988
887.8000 0.8047
913.2000 0.8107
955.5000 0.8166
964.7000 0.8225
965.1000 0.8284
1029.3000 0.8343
1076.1000 0.8402
1146.3000 0.8462
1241.6000 0.8521
1274.3000 0.8580
1414.4000 0.8639
1605.2000 0.8698
2107.9000 0.8757
2334.8000 0.8817
